n_quad,phi_max,kind,label,batch_size,cost,cost_label,softmin,mean_pnl,std_pnl,fees_mean,elapsed_compute_sec,rmse_delta_vs_ref,max_abs_delta_vs_ref,dh_deviation_softmin,gap_vs_dh_deviation,gap_vs_ref_mv
16,200.0,node_curve,q16_phi200,5000,0.0,cost0,27.041670840753987,-7.914415482053456,2.3093036713954715,0.0,0.2733990759588778,0.1174857550731954,4.169162330224804,8.957175254821777,18.08449558593221,17.845103883855817
16,200.0,node_curve,q16_phi200,5000,0.001,cost10bp,27.8559605774713,-8.163687291958258,2.3198208638596327,0.24927180990480566,0.2733990759588778,0.1174857550731954,4.169162330224804,9.159543991088867,18.696416586382433,18.36802082014776
32,200.0,node_curve,q32_phi200,5000,0.0,cost0,9.201100403806276,-7.9154482537246835,1.3425915316929453,0.0,0.14474518783390522,0.004953414184513663,1.0304248319662124,8.957175254821777,0.24392514898449846,0.004533446908105532
32,200.0,node_curve,q32_phi200,5000,0.001,cost10bp,9.49202628205206,-8.139829948279841,1.352806757651777,0.22438169455515636,0.14474518783390522,0.004953414184513663,1.0304248319662124,9.159543991088867,0.33248229096319193,0.00408652472851756
64,200.0,node_curve,q64_phi200,5000,0.0,cost0,9.196566940684004,-7.914862456907961,1.3407931078005029,0.0,0.1482309177517891,2.3354102121634112e-07,7.917445354099772e-05,8.957175254821777,0.23939168586222692,-1.6214166009831388e-08
64,200.0,node_curve,q64_phi200,5000,0.001,cost10bp,9.487939744982473,-8.139165292480836,1.3509974990536449,0.2243028355728746,0.1482309177517891,2.3354102121634112e-07,7.917445354099772e-05,9.159543991088867,0.32839575389360576,-1.2341068611476658e-08
128,200.0,node_curve,q128_phi200,5000,0.0,cost0,9.1965669406834,-7.914862456907959,1.340793107800493,0.0,0.15358191216364503,2.3354102058273297e-07,7.917445339133966e-05,8.957175254821777,0.23939168586162296,-1.6214769971156784e-08
128,200.0,node_curve,q128_phi200,5000,0.001,cost10bp,9.48793974498178,-8.139165292480802,1.3509974990536004,0.2243028355728411,0.15358191216364503,2.3354102058273297e-07,7.917445339133966e-05,9.159543991088867,0.328395753892913,-1.2341761390644024e-08
256,200.0,node_curve,q256_phi200,5000,0.0,cost0,9.196566940684122,-7.914862456907958,1.3407931078005015,0.0,0.15762938000261784,2.3354102126774453e-07,7.917445351857122e-05,8.957175254821777,0.23939168586234416,-1.6214048770279987e-08
256,200.0,node_curve,q256_phi200,5000,0.001,cost10bp,9.487939744982612,-8.139165292480843,1.3509974990536526,0.22430283557288203,0.15762938000261784,2.3354102126774453e-07,7.917445351857122e-05,9.159543991088867,0.3283957538937443,-1.2340930055643184e-08
512,200.0,node_curve,q512_phi200,5000,0.0,cost0,9.19656694068447,-7.914862456907958,1.3407931078005038,0.0,0.17141976905986667,2.3354102166548659e-07,7.917445361027564e-05,8.957175254821777,0.23939168586269233,-1.6213700604339465e-08
512,200.0,node_curve,q512_phi200,5000,0.001,cost10bp,9.487939744983013,-8.139165292480861,1.3509974990536755,0.22430283557290112,0.17141976905986667,2.3354102166548659e-07,7.917445361027564e-05,9.159543991088867,0.32839575389414577,-1.234052859899748e-08
1024,200.0,node_curve,q1024_phi200,5000,0.0,cost0,9.196566940686164,-7.914862456907958,1.3407931078005344,0.0,0.23611433571204543,2.3354102329556062e-07,7.917445396110612e-05,8.957175254821777,0.23939168586438697,-1.6212005959914677e-08
1024,200.0,node_curve,q1024_phi200,5000,0.001,cost10bp,9.487939744984967,-8.139165292480948,1.350997499053802,0.22430283557299127,0.23611433571204543,2.3354102329556062e-07,7.917445396110612e-05,9.159543991088867,0.32839575389609976,-1.233857460647414e-08
2048,200.0,node_curve,q2048_phi200,1024,0.0,cost0,9.196566940669143,-7.914862456907978,1.3407931078002242,0.0,0.7608622419647872,2.3354100615735332e-07,7.91744502165459e-05,8.957175254821777,0.23939168584736592,-1.622902701114981e-08
2048,200.0,node_curve,q2048_phi200,1024,0.001,cost10bp,9.487939744965345,-8.139165292480053,1.350997499052512,0.2243028355720714,0.7608622419647872,2.3354100615735332e-07,7.91744502165459e-05,9.159543991088867,0.3283957538764781,-1.2358196244122155e-08
4096,200.0,node_curve,q4096_phi200,1024,0.0,cost0,9.196566940654357,-7.914862456908002,1.3407931077999584,0.0,1.012643311638385,2.335409911405077e-07,7.91744469549327e-05,8.957175254821777,0.23939168583257953,-1.6243813405480978e-08
