method,cost,softmin,gap_vs_dh_deviation,mean_pnl,std_pnl,fees_mean,elapsed_sec,family,band_width,leland_scale,fit_elapsed_sec,fit_paths,clip
MV,0.0,9.19656694068447,0.23939168586269233,-7.914862456907958,1.3407931078005038,0.0,0.2856248887255788,mv,,,,,
MV,0.001,9.487939744983013,0.32839575389414577,-8.139165292480861,1.3509974990536755,0.22430283557290112,0.16185957798734307,mv,,,,,
MV no-trade w=0,0.0,9.19656694068447,0.23939168586269233,-7.914862456907958,1.3407931078005038,0.0,0.17937168572098017,mv_no_trade,0.0,,,,
MV no-trade w=0.0025,0.0,9.180622015965838,0.2234467611440607,-7.915766189011131,1.3414693754003353,0.0,0.1673938911408186,mv_no_trade,0.0025,,,,
MV no-trade w=0.005,0.0,9.16749217727304,0.21031692245126266,-7.916918813449732,1.343446939981081,0.0,0.16339113283902407,mv_no_trade,0.005,,,,
MV no-trade w=0.01,0.0,9.14590417868714,0.18872892386536222,-7.919232259310579,1.3516139310817887,0.0,0.16241440596058965,mv_no_trade,0.01,,,,
MV no-trade w=0.02,0.0,9.135990612974389,0.17881535815261174,-7.924709247847191,1.386243934559305,0.0,0.16217937599867582,mv_no_trade,0.02,,,,
MV no-trade w=0.03,0.0,9.15331374016148,0.19613848533970213,-7.930167343720279,1.4384307845921729,0.0,0.1619609370827675,mv_no_trade,0.03,,,,
MV no-trade w=0.05,0.0,9.281429165622768,0.32425391080099075,-7.93125116742189,1.583479887193051,0.0,0.16205050703138113,mv_no_trade,0.05,,,,
MV no-trade w=0.075,0.0,9.613168384900003,0.655993130078226,-7.928618471147538,1.8158971917302662,0.0,0.16291272407397628,mv_no_trade,0.075,,,,
MV no-trade w=0.1,0.0,10.244642273215163,1.2874670183933858,-7.93341487445715,2.084424439419556,0.0,0.16190963797271252,mv_no_trade,0.1,,,,
MV no-trade w=0.15,0.0,12.681221789196611,3.7240465343748337,-7.945968028839569,2.7046098130989757,0.0,0.16153286769986153,mv_no_trade,0.15,,,,
MV no-trade w=0.2,0.0,16.015250799389122,7.058075544567345,-7.964930378355503,3.390636344599144,0.0,0.16130209993571043,mv_no_trade,0.2,,,,
MV no-trade w=0.3,0.0,23.35939550193647,14.402220247114691,-8.005390841788802,4.785090872859629,0.0,0.16335128294304013,mv_no_trade,0.3,,,,
MV no-trade w=0.5,0.0,38.751446952723235,29.794271697901458,-8.152174760644595,7.757098334115804,0.0,0.15861167712137103,mv_no_trade,0.5,,,,
MV no-trade w=0,0.001,9.487939744983013,0.32839575389414577,-8.139165292480861,1.3509974990536755,0.22430283557290112,0.1617382881231606,mv_no_trade,0.0,,,,
MV no-trade w=0.0025,0.001,9.463029192591954,0.30348520150308644,-8.133544459960206,1.351290452070782,0.21777827094907298,0.16249415511265397,mv_no_trade,0.0025,,,,
MV no-trade w=0.005,0.001,9.441408723166703,0.28186473207783536,-8.128662963139057,1.3528822110148049,0.2117441496893247,0.16522554820403457,mv_no_trade,0.005,,,,
MV no-trade w=0.01,0.001,9.404093260268333,0.2445492691794655,-8.120020737085346,1.360310575462055,0.20078847777476766,0.16195625718683004,mv_no_trade,0.01,,,,
MV no-trade w=0.02,0.001,9.367588888005113,0.2080448969162454,-8.107099144888736,1.3935225596404353,0.18238989704154665,0.16154304798692465,mv_no_trade,0.02,,,,
MV no-trade w=0.03,0.001,9.363131586538344,0.20358759544947702,-8.097743870918741,1.4444690519419268,0.16757652719845847,0.16069088224321604,mv_no_trade,0.03,,,,
MV no-trade w=0.05,0.001,9.457578298120719,0.29803430703185185,-8.076410271147047,1.5876338305868796,0.1451591037251546,0.16751655004918575,mv_no_trade,0.05,,,,
MV no-trade w=0.075,0.001,9.756414951177852,0.5968709600889852,-8.0542852000554,1.8188502631437595,0.12566672890786093,0.16394210094586015,mv_no_trade,0.075,,,,
MV no-trade w=0.1,0.001,10.362385758259876,1.2028417671710088,-8.045133057208012,2.0869792535045137,0.11171818275086459,0.189023126848042,mv_no_trade,0.1,,,,
MV no-trade w=0.15,0.001,12.77553508118731,3.6159910900984436,-8.038102392692798,2.7082204244241574,0.092134363853229,0.1777229900471866,mv_no_trade,0.15,,,,
MV no-trade w=0.2,0.001,16.102874882378416,6.943330891289548,-8.04304557069195,3.3966358154196983,0.07811519233644648,0.17077283095568419,mv_no_trade,0.2,,,,
MV no-trade w=0.3,0.001,23.43691263478311,14.277368643694242,-8.063179629652712,4.796395506059165,0.057788787863910014,0.16374666197225451,mv_no_trade,0.3,,,,
MV no-trade w=0.5,0.001,38.80889932293759,29.649355331848724,-8.187070373163875,7.772287343444741,0.03489561251927974,0.1617742977105081,mv_no_trade,0.5,,,,
Leland scale=0,0.0,9.219540090992945,0.2623648361711677,-7.900409213444012,1.4189975238110664,0.0,0.012598682194948196,leland,,0.0,,,
Leland scale=0.5,0.0,9.219540090992945,0.2623648361711677,-7.900409213444012,1.4189975238110664,0.0,0.010642347857356071,leland,,0.5,,,
Leland scale=1,0.0,9.219540090992945,0.2623648361711677,-7.900409213444012,1.4189975238110664,0.0,0.010578128974884748,leland,,1.0,,,
Leland scale=2,0.0,9.219540090992945,0.2623648361711677,-7.900409213444012,1.4189975238110664,0.0,0.0104872090741992,leland,,2.0,,,
Leland scale=4,0.0,9.219540090992945,0.2623648361711677,-7.900409213444012,1.4189975238110664,0.0,0.010857566725462675,leland,,4.0,,,
Leland scale=0,0.001,9.500215687955201,0.3406716968663339,-8.125370497101775,1.4257835886242372,0.2249612836577649,0.01062014838680625,leland,,0.0,,,
Leland scale=0.5,0.001,9.486617195764762,0.3270732046758944,-8.125015447460747,1.4257619947987028,0.22451286276380342,0.01106078689917922,leland,,0.5,,,
Leland scale=1,0.001,9.473609749214118,0.31406575812525084,-8.124663139462786,1.4259389231533606,0.22406949902452758,0.010661127977073193,leland,,1.0,,,
Leland scale=2,0.001,9.449316540084656,0.2897725489957885,-8.123966539896587,1.4268623752127385,0.22319750157256094,0.010910267010331154,leland,,2.0,,,
Leland scale=4,0.001,9.40726792983602,0.24772393874715348,-8.122604288784379,1.4308152587603735,0.22150979852534475,0.010550618171691895,leland,,4.0,,,
Backward quadratic,0.0,11.409474894212984,2.4522996393912067,-7.904833923408701,2.713916049650889,0.0,0.008243815042078495,backward_quadratic,,,0.5189292030408978,100000.0,
Backward quadratic,0.001,11.752186549664732,2.5926425585758643,-8.150151665162287,2.7287065694951163,0.24531774175358606,0.006673089694231749,backward_quadratic,,,0.5189292030408978,100000.0,
Backward quadratic loose,0.0,25.138031599808194,16.180856344986417,-7.915461025756708,2.80526126008247,0.0,0.007861415855586529,backward_quadratic,,,0.5047181858681142,100000.0,"-5,5"
Backward quadratic loose,0.001,26.257905561483867,17.098361570395,-8.162306273006461,2.819985777755843,0.2468452472497559,0.006508541293442249,backward_quadratic,,,0.5047181858681142,100000.0,"-5,5"
