method,cost,softmin,gap_vs_dh_deviation,mean_pnl,std_pnl,fees_mean,elapsed_sec,family,band_width,leland_scale
MV no-trade fine w=0.0060,0.0,9.162399271720176,0.20522401689839853,-7.91741040713707,1.3445913036930572,0.0,0.3316619307734072,mv_no_trade_fine,0.006,
MV no-trade fine w=0.0080,0.0,9.15308527522265,0.19591002040087346,-7.918275985589492,1.3475750592663491,0.0,0.1686757681891322,mv_no_trade_fine,0.008,
MV no-trade fine w=0.0100,0.0,9.14590417868714,0.18872892386536222,-7.919232259310579,1.3516139310817887,0.0,0.17019765311852098,mv_no_trade_fine,0.01,
MV no-trade fine w=0.0120,0.0,9.139995590573221,0.18282033575144396,-7.920321083868723,1.3566248828302265,0.0,0.15982753317803144,mv_no_trade_fine,0.012,
MV no-trade fine w=0.0140,0.0,9.136101666501403,0.17892641167962609,-7.921358315211535,1.3626440310868175,0.0,0.17827127873897552,mv_no_trade_fine,0.014,
MV no-trade fine w=0.0160,0.0,9.13541788942105,0.1782426345992718,-7.922573049199718,1.3696618975623311,0.0,0.16773089999333024,mv_no_trade_fine,0.016,
MV no-trade fine w=0.0180,0.0,9.135880232183958,0.17870497736218027,-7.923647396847536,1.377606992106513,0.0,0.16204227693378925,mv_no_trade_fine,0.018000000000000002,
MV no-trade fine w=0.0200,0.0,9.135990612974389,0.17881535815261174,-7.924709247847191,1.386243934559305,0.0,0.16164072789251804,mv_no_trade_fine,0.02,
MV no-trade fine w=0.0220,0.0,9.137152439024081,0.17997718420230413,-7.925823288699186,1.3956194413267193,0.0,0.16874023713171482,mv_no_trade_fine,0.022,
MV no-trade fine w=0.0240,0.0,9.139077757651709,0.18190250282993148,-7.926966177894237,1.405430660342307,0.0,0.16614168509840965,mv_no_trade_fine,0.024,
MV no-trade fine w=0.0260,0.0,9.142239457326266,0.1850642025044884,-7.928108181570837,1.415818463368132,0.0,0.1676563103683293,mv_no_trade_fine,0.026000000000000002,
MV no-trade fine w=0.0280,0.0,9.147029926318107,0.18985467149632917,-7.929166483852689,1.4268585752965675,0.0,0.1707541709765792,mv_no_trade_fine,0.028,
MV no-trade fine w=0.0120,0.001,9.392305236959226,0.23276124587035874,-8.117085961618944,1.3650262555946575,0.19676487775022058,0.1713721794076264,mv_no_trade_fine,0.012,
MV no-trade fine w=0.0139,0.001,9.383122203215933,0.22357821212706597,-8.11436474661729,1.3705730229635145,0.19303735062542648,0.17127895914018154,mv_no_trade_fine,0.013941176470588236,
